encounter_id,party_size,party_level,monster_count,monster_name,monster_challenge_rating,encounter_description,feasibility_label
encounter_2835,5,18,2,Bugbear,1.0,A group of 2 Bugbear(s) confronts a party of 5 adventurers at level 18.,Possible
encounter_4445,4,8,6,Young Red Dragon,10.0,A group of 6 Young Red Dragon(s) confronts a party of 4 adventurers at level 8.,Not Possible
encounter_4916,4,10,1,Goblin,0.25,A group of 1 Goblin(s) confronts a party of 4 adventurers at level 10.,Possible
encounter_1599,4,3,7,Bugbear,1.0,A group of 7 Bugbear(s) confronts a party of 4 adventurers at level 3.,Possible
encounter_1780,3,19,9,Ogre,2.0,A group of 9 Ogre(s) confronts a party of 3 adventurers at level 19.,Possible
encounter_4901,2,8,5,Troll,5.0,A group of 5 Troll(s) confronts a party of 2 adventurers at level 8.,Not Possible
encounter_2575,5,6,6,Young Red Dragon,10.0,A group of 6 Young Red Dragon(s) confronts a party of 5 adventurers at level 6.,Not Possible
encounter_3399,3,6,3,Bugbear,1.0,A group of 3 Bugbear(s) confronts a party of 3 adventurers at level 6.,Possible
encounter_3976,2,8,5,Troll,5.0,A group of 5 Troll(s) confronts a party of 2 adventurers at level 8.,Not Possible
encounter_3771,5,3,8,Young Red Dragon,10.0,A group of 8 Young Red Dragon(s) confronts a party of 5 adventurers at level 3.,Not Possible
encounter_167,4,3,5,Bugbear,1.0,A group of 5 Bugbear(s) confronts a party of 4 adventurers at level 3.,Possible
encounter_1752,4,6,4,Ogre,2.0,A group of 4 Ogre(s) confronts a party of 4 adventurers at level 6.,Possible
encounter_1480,4,9,7,Orc,0.5,A group of 7 Orc(s) confronts a party of 4 adventurers at level 9.,Possible
encounter_1025,1,16,1,Bugbear,1.0,A group of 1 Bugbear(s) confronts a party of 1 adventurers at level 16.,Possible
encounter_1789,3,13,4,Goblin,0.25,A group of 4 Goblin(s) confronts a party of 3 adventurers at level 13.,Possible
encounter_2265,5,6,1,Ogre,2.0,A group of 1 Ogre(s) confronts a party of 5 adventurers at level 6.,Possible
encounter_2474,3,2,3,Goblin,0.25,A group of 3 Goblin(s) confronts a party of 3 adventurers at level 2.,Possible
encounter_1823,5,7,3,Bugbear,1.0,A group of 3 Bugbear(s) confronts a party of 5 adventurers at level 7.,Possible
encounter_1221,1,6,2,Goblin,0.25,A group of 2 Goblin(s) confronts a party of 1 adventurers at level 6.,Possible
encounter_1667,2,14,8,Bugbear,1.0,A group of 8 Bugbear(s) confronts a party of 2 adventurers at level 14.,Possible
encounter_2961,3,1,5,Goblin,0.25,A group of 5 Goblin(s) confronts a party of 3 adventurers at level 1.,Possible
encounter_153,2,8,4,Goblin,0.25,A group of 4 Goblin(s) confronts a party of 2 adventurers at level 8.,Possible
encounter_2535,1,19,9,Bugbear,1.0,A group of 9 Bugbear(s) confronts a party of 1 adventurers at level 19.,Possible
encounter_4689,1,10,5,Troll,5.0,A group of 5 Troll(s) confronts a party of 1 adventurers at level 10.,Not Possible
encounter_1979,4,17,4,Ogre,2.0,A group of 4 Ogre(s) confronts a party of 4 adventurers at level 17.,Possible
encounter_1470,5,10,2,Goblin,0.25,A group of 2 Goblin(s) confronts a party of 5 adventurers at level 10.,Possible
encounter_2808,4,2,6,Bugbear,1.0,A group of 6 Bugbear(s) confronts a party of 4 adventurers at level 2.,Possible
encounter_2513,5,19,6,Troll,5.0,A group of 6 Troll(s) confronts a party of 5 adventurers at level 19.,Possible
encounter_2944,5,17,3,Bugbear,1.0,A group of 3 Bugbear(s) confronts a party of 5 adventurers at level 17.,Possible
encounter_2981,1,5,7,Goblin,0.25,A group of 7 Goblin(s) confronts a party of 1 adventurers at level 5.,Possible
encounter_4823,4,18,9,Ogre,2.0,A group of 9 Ogre(s) confronts a party of 4 adventurers at level 18.,Possible
encounter_3018,4,19,7,Orc,0.5,A group of 7 Orc(s) confronts a party of 4 adventurers at level 19.,Possible
encounter_1567,2,1,3,Orc,0.5,A group of 3 Orc(s) confronts a party of 2 adventurers at level 1.,Possible
encounter_32,2,11,1,Young Red Dragon,10.0,A group of 1 Young Red Dragon(s) confronts a party of 2 adventurers at level 11.,Possible
encounter_938,4,11,6,Bugbear,1.0,A group of 6 Bugbear(s) confronts a party of 4 adventurers at level 11.,Possible
encounter_1216,2,1,7,Ogre,2.0,A group of 7 Ogre(s) confronts a party of 2 adventurers at level 1.,Not Possible
encounter_1938,1,13,1,Orc,0.5,A group of 1 Orc(s) confronts a party of 1 adventurers at level 13.,Possible
encounter_1130,5,12,3,Bugbear,1.0,A group of 3 Bugbear(s) confronts a party of 5 adventurers at level 12.,Possible
encounter_310,4,2,8,Orc,0.5,A group of 8 Orc(s) confronts a party of 4 adventurers at level 2.,Possible
encounter_4902,1,8,7,Bugbear,1.0,A group of 7 Bugbear(s) confronts a party of 1 adventurers at level 8.,Possible
encounter_2169,4,2,2,Goblin,0.25,A group of 2 Goblin(s) confronts a party of 4 adventurers at level 2.,Possible
encounter_3114,5,4,3,Goblin,0.25,A group of 3 Goblin(s) confronts a party of 5 adventurers at level 4.,Possible
encounter_496,5,4,5,Ogre,2.0,A group of 5 Ogre(s) confronts a party of 5 adventurers at level 4.,Possible
encounter_206,1,6,2,Orc,0.5,A group of 2 Orc(s) confronts a party of 1 adventurers at level 6.,Possible
encounter_2674,1,8,2,Goblin,0.25,A group of 2 Goblin(s) confronts a party of 1 adventurers at level 8.,Possible
encounter_3358,2,17,6,Troll,5.0,A group of 6 Troll(s) confronts a party of 2 adventurers at level 17.,Possible
encounter_3831,4,8,1,Bugbear,1.0,A group of 1 Bugbear(s) confronts a party of 4 adventurers at level 8.,Possible
encounter_306,2,7,3,Ogre,2.0,A group of 3 Ogre(s) confronts a party of 2 adventurers at level 7.,Possible
encounter_3794,3,16,9,Goblin,0.25,A group of 9 Goblin(s) confronts a party of 3 adventurers at level 16.,Possible
encounter_2202,5,7,8,Troll,5.0,A group of 8 Troll(s) confronts a party of 5 adventurers at level 7.,Not Possible
encounter_1062,2,7,5,Goblin,0.25,A group of 5 Goblin(s) confronts a party of 2 adventurers at level 7.,Possible
encounter_844,3,19,5,Ogre,2.0,A group of 5 Ogre(s) confronts a party of 3 adventurers at level 19.,Possible
encounter_3873,3,1,6,Young Red Dragon,10.0,A group of 6 Young Red Dragon(s) confronts a party of 3 adventurers at level 1.,Not Possible
encounter_2252,3,7,4,Ogre,2.0,A group of 4 Ogre(s) confronts a party of 3 adventurers at level 7.,Possible
encounter_212,2,15,9,Bugbear,1.0,A group of 9 Bugbear(s) confronts a party of 2 adventurers at level 15.,Possible
encounter_3998,1,6,3,Young Red Dragon,10.0,A group of 3 Young Red Dragon(s) confronts a party of 1 adventurers at level 6.,Not Possible
encounter_680,4,16,5,Young Red Dragon,10.0,A group of 5 Young Red Dragon(s) confronts a party of 4 adventurers at level 16.,Possible
encounter_566,3,12,5,Troll,5.0,A group of 5 Troll(s) confronts a party of 3 adventurers at level 12.,Possible
encounter_3291,2,8,5,Troll,5.0,A group of 5 Troll(s) confronts a party of 2 adventurers at level 8.,Not Possible
encounter_4355,2,10,9,Goblin,0.25,A group of 9 Goblin(s) confronts a party of 2 adventurers at level 10.,Possible
encounter_681,1,2,5,Bugbear,1.0,A group of 5 Bugbear(s) confronts a party of 1 adventurers at level 2.,Not Possible
encounter_181,5,4,2,Troll,5.0,A group of 2 Troll(s) confronts a party of 5 adventurers at level 4.,Possible
encounter_4280,3,17,1,Ogre,2.0,A group of 1 Ogre(s) confronts a party of 3 adventurers at level 17.,Possible
encounter_2496,5,5,8,Young Red Dragon,10.0,A group of 8 Young Red Dragon(s) confronts a party of 5 adventurers at level 5.,Not Possible
encounter_2317,3,19,9,Troll,5.0,A group of 9 Troll(s) confronts a party of 3 adventurers at level 19.,Possible
encounter_4274,2,2,7,Ogre,2.0,A group of 7 Ogre(s) confronts a party of 2 adventurers at level 2.,Not Possible
encounter_279,3,3,6,Orc,0.5,A group of 6 Orc(s) confronts a party of 3 adventurers at level 3.,Possible
encounter_3684,1,12,3,Young Red Dragon,10.0,A group of 3 Young Red Dragon(s) confronts a party of 1 adventurers at level 12.,Not Possible
encounter_4763,5,16,5,Orc,0.5,A group of 5 Orc(s) confronts a party of 5 adventurers at level 16.,Possible
encounter_433,1,7,3,Bugbear,1.0,A group of 3 Bugbear(s) confronts a party of 1 adventurers at level 7.,Possible
encounter_290,1,13,3,Troll,5.0,A group of 3 Troll(s) confronts a party of 1 adventurers at level 13.,Not Possible
encounter_1028,4,8,7,Goblin,0.25,A group of 7 Goblin(s) confronts a party of 4 adventurers at level 8.,Possible
encounter_536,4,17,8,Goblin,0.25,A group of 8 Goblin(s) confronts a party of 4 adventurers at level 17.,Possible
encounter_3632,3,1,3,Bugbear,1.0,A group of 3 Bugbear(s) confronts a party of 3 adventurers at level 1.,Possible
encounter_189,3,5,5,Young Red Dragon,10.0,A group of 5 Young Red Dragon(s) confronts a party of 3 adventurers at level 5.,Not Possible
encounter_2175,2,17,9,Goblin,0.25,A group of 9 Goblin(s) confronts a party of 2 adventurers at level 17.,Possible
encounter_3916,1,3,3,Orc,0.5,A group of 3 Orc(s) confronts a party of 1 adventurers at level 3.,Possible
encounter_1863,3,13,2,Bugbear,1.0,A group of 2 Bugbear(s) confronts a party of 3 adventurers at level 13.,Possible
encounter_271,1,14,8,Ogre,2.0,A group of 8 Ogre(s) confronts a party of 1 adventurers at level 14.,Not Possible
encounter_1729,3,6,7,Troll,5.0,A group of 7 Troll(s) confronts a party of 3 adventurers at level 6.,Not Possible
encounter_4076,4,15,9,Goblin,0.25,A group of 9 Goblin(s) confronts a party of 4 adventurers at level 15.,Possible
encounter_2158,5,18,6,Goblin,0.25,A group of 6 Goblin(s) confronts a party of 5 adventurers at level 18.,Possible
encounter_3932,2,9,1,Young Red Dragon,10.0,A group of 1 Young Red Dragon(s) confronts a party of 2 adventurers at level 9.,Possible
encounter_112,4,2,7,Bugbear,1.0,A group of 7 Bugbear(s) confronts a party of 4 adventurers at level 2.,Possible
encounter_2385,1,16,3,Young Red Dragon,10.0,A group of 3 Young Red Dragon(s) confronts a party of 1 adventurers at level 16.,Not Possible
encounter_221,1,5,7,Ogre,2.0,A group of 7 Ogre(s) confronts a party of 1 adventurers at level 5.,Not Possible
encounter_628,5,2,9,Ogre,2.0,A group of 9 Ogre(s) confronts a party of 5 adventurers at level 2.,Not Possible
encounter_1182,1,15,1,Orc,0.5,A group of 1 Orc(s) confronts a party of 1 adventurers at level 15.,Possible
encounter_3382,3,14,9,Young Red Dragon,10.0,A group of 9 Young Red Dragon(s) confronts a party of 3 adventurers at level 14.,Not Possible
encounter_2423,3,12,4,Bugbear,1.0,A group of 4 Bugbear(s) confronts a party of 3 adventurers at level 12.,Possible
encounter_791,2,12,9,Ogre,2.0,A group of 9 Ogre(s) confronts a party of 2 adventurers at level 12.,Possible
encounter_4276,4,17,7,Orc,0.5,A group of 7 Orc(s) confronts a party of 4 adventurers at level 17.,Possible
encounter_462,1,18,8,Goblin,0.25,A group of 8 Goblin(s) confronts a party of 1 adventurers at level 18.,Possible
encounter_4403,1,11,8,Young Red Dragon,10.0,A group of 8 Young Red Dragon(s) confronts a party of 1 adventurers at level 11.,Not Possible
encounter_552,5,8,3,Goblin,0.25,A group of 3 Goblin(s) confronts a party of 5 adventurers at level 8.,Possible
encounter_3130,5,13,6,Bugbear,1.0,A group of 6 Bugbear(s) confronts a party of 5 adventurers at level 13.,Possible
encounter_1445,2,16,2,Young Red Dragon,10.0,A group of 2 Young Red Dragon(s) confronts a party of 2 adventurers at level 16.,Possible
encounter_199,1,10,4,Goblin,0.25,A group of 4 Goblin(s) confronts a party of 1 adventurers at level 10.,Possible
encounter_2590,5,17,1,Bugbear,1.0,A group of 1 Bugbear(s) confronts a party of 5 adventurers at level 17.,Possible
encounter_403,3,19,8,Orc,0.5,A group of 8 Orc(s) confronts a party of 3 adventurers at level 19.,Possible
encounter_3960,1,16,6,Orc,0.5,A group of 6 Orc(s) confronts a party of 1 adventurers at level 16.,Possible
encounter_4190,2,13,3,Orc,0.5,A group of 3 Orc(s) confronts a party of 2 adventurers at level 13.,Possible
encounter_4764,2,16,7,Troll,5.0,A group of 7 Troll(s) confronts a party of 2 adventurers at level 16.,Not Possible
encounter_2096,4,10,9,Orc,0.5,A group of 9 Orc(s) confronts a party of 4 adventurers at level 10.,Possible
encounter_2901,1,17,9,Young Red Dragon,10.0,A group of 9 Young Red Dragon(s) confronts a party of 1 adventurers at level 17.,Not Possible
encounter_4463,2,5,4,Orc,0.5,A group of 4 Orc(s) confronts a party of 2 adventurers at level 5.,Possible
encounter_651,3,10,9,Young Red Dragon,10.0,A group of 9 Young Red Dragon(s) confronts a party of 3 adventurers at level 10.,Not Possible
encounter_709,5,3,9,Goblin,0.25,A group of 9 Goblin(s) confronts a party of 5 adventurers at level 3.,Possible
encounter_1481,2,15,8,Goblin,0.25,A group of 8 Goblin(s) confronts a party of 2 adventurers at level 15.,Possible
encounter_4415,5,2,8,Orc,0.5,A group of 8 Orc(s) confronts a party of 5 adventurers at level 2.,Possible
encounter_3066,4,16,3,Bugbear,1.0,A group of 3 Bugbear(s) confronts a party of 4 adventurers at level 16.,Possible
encounter_2396,1,13,8,Orc,0.5,A group of 8 Orc(s) confronts a party of 1 adventurers at level 13.,Possible
encounter_1770,4,14,4,Orc,0.5,A group of 4 Orc(s) confronts a party of 4 adventurers at level 14.,Possible
encounter_315,4,17,2,Orc,0.5,A group of 2 Orc(s) confronts a party of 4 adventurers at level 17.,Possible
encounter_3762,1,9,3,Goblin,0.25,A group of 3 Goblin(s) confronts a party of 1 adventurers at level 9.,Possible
encounter_4910,5,10,7,Orc,0.5,A group of 7 Orc(s) confronts a party of 5 adventurers at level 10.,Possible
encounter_114,4,12,2,Ogre,2.0,A group of 2 Ogre(s) confronts a party of 4 adventurers at level 12.,Possible
encounter_961,3,19,4,Bugbear,1.0,A group of 4 Bugbear(s) confronts a party of 3 adventurers at level 19.,Possible
encounter_2911,4,3,9,Young Red Dragon,10.0,A group of 9 Young Red Dragon(s) confronts a party of 4 adventurers at level 3.,Not Possible
encounter_3406,3,18,7,Young Red Dragon,10.0,A group of 7 Young Red Dragon(s) confronts a party of 3 adventurers at level 18.,Not Possible
encounter_1624,4,4,9,Orc,0.5,A group of 9 Orc(s) confronts a party of 4 adventurers at level 4.,Possible
encounter_3323,2,15,3,Bugbear,1.0,A group of 3 Bugbear(s) confronts a party of 2 adventurers at level 15.,Possible
encounter_5000,1,5,9,Orc,0.5,A group of 9 Orc(s) confronts a party of 1 adventurers at level 5.,Possible
encounter_1819,1,10,8,Goblin,0.25,A group of 8 Goblin(s) confronts a party of 1 adventurers at level 10.,Possible
encounter_3195,4,9,4,Young Red Dragon,10.0,A group of 4 Young Red Dragon(s) confronts a party of 4 adventurers at level 9.,Not Possible
encounter_3008,5,7,7,Young Red Dragon,10.0,A group of 7 Young Red Dragon(s) confronts a party of 5 adventurers at level 7.,Not Possible
encounter_3415,1,9,9,Ogre,2.0,A group of 9 Ogre(s) confronts a party of 1 adventurers at level 9.,Not Possible
encounter_4529,2,17,5,Ogre,2.0,A group of 5 Ogre(s) confronts a party of 2 adventurers at level 17.,Possible
encounter_1898,4,13,5,Troll,5.0,A group of 5 Troll(s) confronts a party of 4 adventurers at level 13.,Possible
encounter_1919,3,12,2,Troll,5.0,A group of 2 Troll(s) confronts a party of 3 adventurers at level 12.,Possible
encounter_1271,3,4,9,Troll,5.0,A group of 9 Troll(s) confronts a party of 3 adventurers at level 4.,Not Possible
encounter_4177,1,5,1,Ogre,2.0,A group of 1 Ogre(s) confronts a party of 1 adventurers at level 5.,Possible
encounter_4963,3,10,3,Bugbear,1.0,A group of 3 Bugbear(s) confronts a party of 3 adventurers at level 10.,Possible
encounter_4884,4,9,3,Orc,0.5,A group of 3 Orc(s) confronts a party of 4 adventurers at level 9.,Possible
encounter_4095,3,17,6,Troll,5.0,A group of 6 Troll(s) confronts a party of 3 adventurers at level 17.,Possible
encounter_3160,3,19,5,Orc,0.5,A group of 5 Orc(s) confronts a party of 3 adventurers at level 19.,Possible
encounter_1814,4,9,7,Bugbear,1.0,A group of 7 Bugbear(s) confronts a party of 4 adventurers at level 9.,Possible
encounter_2427,1,7,6,Orc,0.5,A group of 6 Orc(s) confronts a party of 1 adventurers at level 7.,Possible
encounter_3951,2,15,4,Troll,5.0,A group of 4 Troll(s) confronts a party of 2 adventurers at level 15.,Possible
encounter_4429,4,11,6,Orc,0.5,A group of 6 Orc(s) confronts a party of 4 adventurers at level 11.,Possible
encounter_2143,3,13,7,Goblin,0.25,A group of 7 Goblin(s) confronts a party of 3 adventurers at level 13.,Possible
encounter_1627,2,2,2,Bugbear,1.0,A group of 2 Bugbear(s) confronts a party of 2 adventurers at level 2.,Possible
encounter_790,2,12,4,Ogre,2.0,A group of 4 Ogre(s) confronts a party of 2 adventurers at level 12.,Possible
encounter_3787,2,17,3,Orc,0.5,A group of 3 Orc(s) confronts a party of 2 adventurers at level 17.,Possible
encounter_1865,2,2,3,Troll,5.0,A group of 3 Troll(s) confronts a party of 2 adventurers at level 2.,Not Possible
encounter_2866,3,4,7,Young Red Dragon,10.0,A group of 7 Young Red Dragon(s) confronts a party of 3 adventurers at level 4.,Not Possible
encounter_872,5,10,1,Bugbear,1.0,A group of 1 Bugbear(s) confronts a party of 5 adventurers at level 10.,Possible
encounter_3272,4,10,6,Goblin,0.25,A group of 6 Goblin(s) confronts a party of 4 adventurers at level 10.,Possible
encounter_3834,3,13,4,Troll,5.0,A group of 4 Troll(s) confronts a party of 3 adventurers at level 13.,Possible
encounter_74,1,17,4,Orc,0.5,A group of 4 Orc(s) confronts a party of 1 adventurers at level 17.,Possible
encounter_1753,4,10,6,Young Red Dragon,10.0,A group of 6 Young Red Dragon(s) confronts a party of 4 adventurers at level 10.,Not Possible
encounter_1422,3,6,8,Bugbear,1.0,A group of 8 Bugbear(s) confronts a party of 3 adventurers at level 6.,Possible
encounter_4222,1,12,8,Bugbear,1.0,A group of 8 Bugbear(s) confronts a party of 1 adventurers at level 12.,Possible
encounter_4694,4,10,5,Orc,0.5,A group of 5 Orc(s) confronts a party of 4 adventurers at level 10.,Possible
encounter_4370,3,13,5,Ogre,2.0,A group of 5 Ogre(s) confronts a party of 3 adventurers at level 13.,Possible
encounter_4576,4,3,9,Goblin,0.25,A group of 9 Goblin(s) confronts a party of 4 adventurers at level 3.,Possible
encounter_3810,4,10,5,Ogre,2.0,A group of 5 Ogre(s) confronts a party of 4 adventurers at level 10.,Possible
encounter_2245,4,12,8,Bugbear,1.0,A group of 8 Bugbear(s) confronts a party of 4 adventurers at level 12.,Possible
encounter_3048,2,2,8,Ogre,2.0,A group of 8 Ogre(s) confronts a party of 2 adventurers at level 2.,Not Possible
encounter_2446,5,13,4,Orc,0.5,A group of 4 Orc(s) confronts a party of 5 adventurers at level 13.,Possible
encounter_495,3,3,5,Troll,5.0,A group of 5 Troll(s) confronts a party of 3 adventurers at level 3.,Not Possible
encounter_3131,4,13,3,Young Red Dragon,10.0,A group of 3 Young Red Dragon(s) confronts a party of 4 adventurers at level 13.,Possible
encounter_4322,1,19,6,Bugbear,1.0,A group of 6 Bugbear(s) confronts a party of 1 adventurers at level 19.,Possible
encounter_4398,1,4,2,Young Red Dragon,10.0,A group of 2 Young Red Dragon(s) confronts a party of 1 adventurers at level 4.,Not Possible
encounter_1165,5,12,3,Ogre,2.0,A group of 3 Ogre(s) confronts a party of 5 adventurers at level 12.,Possible
encounter_3735,3,17,8,Goblin,0.25,A group of 8 Goblin(s) confronts a party of 3 adventurers at level 17.,Possible
encounter_1731,2,16,8,Bugbear,1.0,A group of 8 Bugbear(s) confronts a party of 2 adventurers at level 16.,Possible
encounter_4813,5,5,4,Ogre,2.0,A group of 4 Ogre(s) confronts a party of 5 adventurers at level 5.,Possible
encounter_2403,5,5,1,Orc,0.5,A group of 1 Orc(s) confronts a party of 5 adventurers at level 5.,Possible
encounter_3404,1,8,5,Orc,0.5,A group of 5 Orc(s) confronts a party of 1 adventurers at level 8.,Possible
encounter_619,4,6,7,Bugbear,1.0,A group of 7 Bugbear(s) confronts a party of 4 adventurers at level 6.,Possible
encounter_1698,1,3,4,Young Red Dragon,10.0,A group of 4 Young Red Dragon(s) confronts a party of 1 adventurers at level 3.,Not Possible
encounter_3594,2,9,7,Goblin,0.25,A group of 7 Goblin(s) confronts a party of 2 adventurers at level 9.,Possible
encounter_1958,4,18,2,Troll,5.0,A group of 2 Troll(s) confronts a party of 4 adventurers at level 18.,Possible
encounter_1222,5,9,7,Young Red Dragon,10.0,A group of 7 Young Red Dragon(s) confronts a party of 5 adventurers at level 9.,Not Possible
encounter_2074,4,5,3,Young Red Dragon,10.0,A group of 3 Young Red Dragon(s) confronts a party of 4 adventurers at level 5.,Not Possible
encounter_3411,3,3,3,Ogre,2.0,A group of 3 Ogre(s) confronts a party of 3 adventurers at level 3.,Possible
encounter_870,5,3,2,Orc,0.5,A group of 2 Orc(s) confronts a party of 5 adventurers at level 3.,Possible
encounter_2719,2,5,3,Bugbear,1.0,A group of 3 Bugbear(s) confronts a party of 2 adventurers at level 5.,Possible
encounter_1043,3,1,6,Ogre,2.0,A group of 6 Ogre(s) confronts a party of 3 adventurers at level 1.,Not Possible
encounter_1362,2,11,9,Orc,0.5,A group of 9 Orc(s) confronts a party of 2 adventurers at level 11.,Possible
encounter_357,4,13,2,Orc,0.5,A group of 2 Orc(s) confronts a party of 4 adventurers at level 13.,Possible
encounter_1163,3,6,2,Bugbear,1.0,A group of 2 Bugbear(s) confronts a party of 3 adventurers at level 6.,Possible
encounter_2766,5,19,3,Orc,0.5,A group of 3 Orc(s) confronts a party of 5 adventurers at level 19.,Possible
encounter_3253,1,6,5,Troll,5.0,A group of 5 Troll(s) confronts a party of 1 adventurers at level 6.,Not Possible
encounter_1439,1,2,3,Orc,0.5,A group of 3 Orc(s) confronts a party of 1 adventurers at level 2.,Possible
encounter_3604,3,12,8,Troll,5.0,A group of 8 Troll(s) confronts a party of 3 adventurers at level 12.,Not Possible
encounter_4941,5,14,1,Orc,0.5,A group of 1 Orc(s) confronts a party of 5 adventurers at level 14.,Possible
encounter_4594,4,19,2,Troll,5.0,A group of 2 Troll(s) confronts a party of 4 adventurers at level 19.,Possible
encounter_3640,5,6,8,Orc,0.5,A group of 8 Orc(s) confronts a party of 5 adventurers at level 6.,Possible
encounter_1254,3,2,2,Orc,0.5,A group of 2 Orc(s) confronts a party of 3 adventurers at level 2.,Possible
encounter_3366,5,16,7,Ogre,2.0,A group of 7 Ogre(s) confronts a party of 5 adventurers at level 16.,Possible
encounter_333,5,13,2,Ogre,2.0,A group of 2 Ogre(s) confronts a party of 5 adventurers at level 13.,Possible
encounter_3695,5,8,4,Bugbear,1.0,A group of 4 Bugbear(s) confronts a party of 5 adventurers at level 8.,Possible
encounter_3569,4,2,3,Ogre,2.0,A group of 3 Ogre(s) confronts a party of 4 adventurers at level 2.,Possible
encounter_2729,3,6,4,Ogre,2.0,A group of 4 Ogre(s) confronts a party of 3 adventurers at level 6.,Possible
encounter_3668,3,7,5,Goblin,0.25,A group of 5 Goblin(s) confronts a party of 3 adventurers at level 7.,Possible
encounter_1631,2,3,3,Orc,0.5,A group of 3 Orc(s) confronts a party of 2 adventurers at level 3.,Possible
encounter_1117,4,19,2,Orc,0.5,A group of 2 Orc(s) confronts a party of 4 adventurers at level 19.,Possible
encounter_1850,2,1,5,Young Red Dragon,10.0,A group of 5 Young Red Dragon(s) confronts a party of 2 adventurers at level 1.,Not Possible
encounter_3555,1,1,2,Ogre,2.0,A group of 2 Ogre(s) confronts a party of 1 adventurers at level 1.,Not Possible
encounter_3154,4,7,4,Orc,0.5,A group of 4 Orc(s) confronts a party of 4 adventurers at level 7.,Possible
encounter_3266,3,9,9,Bugbear,1.0,A group of 9 Bugbear(s) confronts a party of 3 adventurers at level 9.,Possible
encounter_1666,4,4,6,Orc,0.5,A group of 6 Orc(s) confronts a party of 4 adventurers at level 4.,Possible
encounter_446,2,6,7,Goblin,0.25,A group of 7 Goblin(s) confronts a party of 2 adventurers at level 6.,Possible
encounter_2246,3,15,2,Young Red Dragon,10.0,A group of 2 Young Red Dragon(s) confronts a party of 3 adventurers at level 15.,Possible
encounter_453,1,6,4,Bugbear,1.0,A group of 4 Bugbear(s) confronts a party of 1 adventurers at level 6.,Possible
encounter_1552,3,17,3,Ogre,2.0,A group of 3 Ogre(s) confronts a party of 3 adventurers at level 17.,Possible
