date,item_id,item_name,restaurant_id,restaurant_name,item_cost,calories,predicted_units_sold,predicted_revenue
2022-01-01,35,Blue Ribbon Cocktail,6,Surfs Up,4.36,456,0.079,0.35
2022-01-01,36,Fantastic Fish with Vegetables Entree,5,Corner Cafe,21.14,232,0.019,0.4
2022-01-01,37,Awesome Milky Cake,1,Bob's Diner,7.36,636,0.631,4.65
2022-01-01,38,Mutton Dinner,1,Bob's Diner,10.8,542,112.831,1218.57
2022-01-01,39,Awesome Fruity Lamb with Vegetables Dinner,5,Corner Cafe,19.03,361,0.017,0.32
2022-01-01,40,Fantastic Fruity Salmon with Bread meal,4,Fou Cher,22.67,815,0.016,0.36
2022-01-01,41,Milky Cake,4,Fou Cher,6.01,624,0.016,0.1
2022-01-01,42,Fantastic Milky Smoothy,2,Beachfront Bar,2.91,318,0.87,2.53
2022-01-01,43,Anglefood Cake,5,Corner Cafe,7.13,550,0.017,0.12
2022-01-01,44,Milky Vegi Smoothy,1,Bob's Diner,5.5,374,0.894,4.92
2022-01-01,45,Awesome Fish with Vegetables Entree,1,Bob's Diner,23.43,227,2.71,63.49
2022-01-01,46,Blue Ribbon Milky Cake,3,Sweet Shack,6.89,612,0.015,0.1
2022-01-01,47,Amazing Vegetable and Bread Dinner,4,Fou Cher,8.01,720,0.016,0.13
2022-01-01,48,Original Breaded Lamb Dinner,4,Fou Cher,11.82,740,0.016,0.19
2022-01-01,49,Awesome Smoothy,3,Sweet Shack,1.39,78,0.881,1.22
2022-01-01,50,Pike Lunch,5,Corner Cafe,26.37,653,0.026,0.69
2022-01-01,51,Amazing Lamb Dinner,4,Fou Cher,17.55,591,0.027,0.47
2022-01-01,52,Original Sweet Milky Soft Drink,3,Sweet Shack,5.68,535,0.015,0.09
2022-01-01,53,Amazing Sweet Breaded Carrot Cake,5,Corner Cafe,7.87,836,0.017,0.13
2022-01-01,54,Original Vegetable with Bread Meal,5,Corner Cafe,6.51,626,0.017,0.11
2022-01-01,55,Frozen Milky Cake,5,Corner Cafe,6.63,607,0.017,0.11
2022-01-01,56,Sea Bass with Vegetables Dinner,1,Bob's Diner,28.75,613,25.076,720.94
2022-01-01,57,Carrot Cake,4,Fou Cher,3.93,510,0.018,0.07
2022-01-01,58,Lamb with Vegetables Meal,5,Corner Cafe,13.66,485,0.079,1.08
2022-01-01,59,Blue Ribbon Beef Entree,1,Bob's Diner,23.37,392,50.464,1179.35
2022-01-01,60,Original Pork Meal,5,Corner Cafe,15.69,411,0.1,1.57
2022-01-01,61,Awesome Pork with Vegetables Lunch,6,Surfs Up,18.53,848,0.056,1.04
2022-01-01,62,Sweet Vegi Soft Drink,2,Beachfront Bar,5.7,538,0.032,0.18
2022-01-01,63,Frozen Chocolate Cake,5,Corner Cafe,3.74,519,0.017,0.06
2022-01-01,64,Roast Mutton Entree,6,Surfs Up,16.09,293,0.069,1.12
2022-01-01,65,Lamb with Bread and Vegetables Meal,4,Fou Cher,20.02,724,0.016,0.32
2022-01-01,66,Cherry Cake,4,Fou Cher,6.31,586,0.019,0.12
2022-01-01,67,Sweet Lamb Cake,1,Bob's Diner,7.0,558,7.155,50.08
2022-01-01,68,Blue Ribbon Fruity Milky Cake,1,Bob's Diner,8.7,652,0.935,8.14
2022-01-01,69,Awesome Hamburger with Fries,5,Corner Cafe,26.04,673,0.115,3.01
2022-01-01,70,Pork with Bread Lunch,5,Corner Cafe,16.28,545,0.027,0.43
2022-01-01,71,Frozen Milky Smoothy,5,Corner Cafe,3.98,211,0.344,1.37
2022-01-01,72,Original Milky Cake,4,Fou Cher,6.53,602,0.016,0.1
2022-01-01,73,Milky Cake,1,Bob's Diner,5.16,596,5.761,29.73
2022-01-01,74,Super Sweet Cocktail,4,Fou Cher,4.11,619,0.018,0.07
2022-01-01,75,Blue Ribbon Milky Smoothy,4,Fou Cher,5.6,459,0.038,0.21
2022-01-01,76,Amazing pork lunch,1,Bob's Diner,17.93,679,69.265,1241.92
2022-01-01,77,Blue Ribbon Frozen Milky Cake,3,Sweet Shack,7.7,636,0.015,0.12
2022-01-01,78,Original Gin Cocktail,2,Beachfront Bar,2.99,279,0.026,0.08
2022-01-01,79,Fruity Frozen Slushy,4,Fou Cher,3.75,137,0.073,0.27
2022-01-01,80,Blue Ribbon Fruity Vegi Lunch,4,Fou Cher,53.98,881,0.516,27.83
2022-01-01,81,Fantastic Milky Smoothy,3,Sweet Shack,5.11,383,0.017,0.09
2022-01-01,82,Martini,4,Fou Cher,5.45,556,0.016,0.09
2022-01-01,83,Original Fruity Carrot Cake,5,Corner Cafe,8.55,600,0.017,0.14
2022-01-01,84,BBQ Pork Steak,5,Corner Cafe,19.77,855,0.017,0.33
2022-01-01,85,Vegetarian Plate with Bread entree,4,Fou Cher,4.02,271,0.018,0.07
2022-01-01,86,Original Milky Cake,3,Sweet Shack,6.5,595,0.015,0.1
2022-01-01,87,Milky Cake,5,Corner Cafe,7.22,627,0.017,0.12
2022-01-01,88,Oysters Rockefeller,6,Surfs Up,16.06,204,0.139,2.24
2022-01-01,89,Awesome Soft Drink,6,Surfs Up,3.06,248,0.993,3.04
2022-01-01,90,Sweet Breaded Zucchini Cake,1,Bob's Diner,7.71,838,1.107,8.53
2022-01-01,91,Halibut with Bread Dinner,5,Corner Cafe,15.46,468,0.088,1.35
2022-01-01,92,Margarita,4,Fou Cher,3.23,418,0.04,0.13
2022-01-01,93,Lamb with Bread Entree,5,Corner Cafe,12.44,585,0.185,2.3
2022-01-01,94,Fruity Milky Smoothy,6,Surfs Up,5.71,331,0.075,0.43
2022-01-01,95,Blue Ribbon Pork Chop with Rolls Dinner,4,Fou Cher,19.04,958,0.021,0.4
2022-01-01,96,Blue Ribbon Fish with Bread Lunch,5,Corner Cafe,21.93,708,0.017,0.37
2022-01-01,97,Original Fruity Cod with Bread and Vegetables Entree,4,Fou Cher,28.65,744,0.093,2.65
2022-01-01,98,Original Sweet Milky Soft Drink,2,Beachfront Bar,5.0,579,0.021,0.1
2022-01-01,99,Frozen Tomato Soft Drink,4,Fou Cher,5.32,423,0.017,0.09
2022-01-01,100,Awesome Vodka Cocktail,2,Beachfront Bar,2.48,223,0.022,0.06
2022-01-02,1,Chocolate Cake,4,Fou Cher,6.71,554,0.016,0.11
2022-01-02,2,Breaded Fish with Vegetables Meal,4,Fou Cher,15.09,772,0.016,0.24
2022-01-02,3,Sweet Fruity Cake,1,Bob's Diner,29.22,931,1.753,51.23
2022-01-02,4,Amazing Steak Dinner with Rolls,1,Bob's Diner,26.42,763,12.381,327.11
2022-01-02,5,Milk Cake,5,Corner Cafe,6.07,583,0.017,0.1
2022-01-02,6,Fruity Frozen Cocktail,4,Fou Cher,5.61,537,0.016,0.09
2022-01-02,7,Fruity Milky Cake,4,Fou Cher,8.1,605,0.016,0.13
2022-01-02,8,Amazing Trout with Vegetables Dinner,6,Surfs Up,24.98,258,0.043,1.08
2022-01-02,9,Orange Juice,1,Bob's Diner,3.91,135,33.417,130.66
2022-01-02,10,Mutton with Roles and Vegetables Plate,5,Corner Cafe,21.13,820,0.017,0.35
2022-01-02,11,Fantastic Sweet Fish Cake,4,Fou Cher,19.48,787,0.144,2.8
2022-01-02,12,Fantastic Sweet Cola,1,Bob's Diner,4.87,478,2.198,10.7
2022-01-02,13,Sweet Frozen Soft Drink,1,Bob's Diner,4.18,490,12.034,50.3
2022-01-02,14,Amazing Cocktail,6,Surfs Up,3.9,472,0.06,0.23
2022-01-02,15,Original Lamb with Vegetables Meal,5,Corner Cafe,18.78,380,0.017,0.32
2022-01-02,16,Frozen Milky Smoothy,1,Bob's Diner,3.21,284,4.901,15.73
2022-01-02,17,Awesome Vegetable with Bread Meal,4,Fou Cher,6.21,581,0.016,0.1
2022-01-02,18,Mutton Lunch Plate,1,Bob's Diner,18.82,566,1.113,20.95
2022-01-02,19,Strawberry Smoothy,1,Bob's Diner,2.89,145,87.475,252.8
2022-01-02,20,Fruity Milky Soft Drink,5,Corner Cafe,7.95,645,0.017,0.13
2022-01-02,21,Amazing Fish with Vegetables Meal,1,Bob's Diner,23.23,269,4.379,101.72
2022-01-02,22,Lamb with Bread Dinner,4,Fou Cher,19.05,557,0.016,0.31
2022-01-02,23,Awesome Sweet Lamb Cake,1,Bob's Diner,10.86,671,0.946,10.28
2022-01-02,24,Amazing Sweet Fruity Vegetable Cake,1,Bob's Diner,7.91,588,0.733,5.8
2022-01-02,25,Fantastic Frozen Milky Cake,1,Bob's Diner,6.23,587,0.918,5.72
2022-01-02,26,Blue Ribbon Lamb with Rolls Lunch,5,Corner Cafe,7.55,611,0.274,2.07
2022-01-02,27,Steak Meal,6,Surfs Up,26.21,607,0.252,6.61
2022-01-02,28,Fish with Dread and Vegetables Dinner,4,Fou Cher,15.23,534,0.017,0.27
2022-01-02,29,Original Crazy Cocktail,2,Beachfront Bar,2.43,228,0.442,1.07
2022-01-02,30,Fantastic Cake,3,Sweet Shack,5.08,525,0.018,0.09
2022-01-02,31,Amazing Frozen Milky Cake,1,Bob's Diner,5.62,623,0.77,4.33
2022-01-02,32,Milky vegi Smoothy,3,Sweet Shack,3.86,150,0.016,0.06
2022-01-02,33,Original Breaded Pork with Vegetables Dinner,6,Surfs Up,20.8,1023,0.037,0.77
2022-01-02,34,Sweet Savory Cake,4,Fou Cher,27.47,721,0.016,0.45
2022-01-02,35,Blue Ribbon Cocktail,6,Surfs Up,4.36,456,0.047,0.21
2022-01-02,36,Fantastic Fish with Vegetables Entree,5,Corner Cafe,21.14,232,0.019,0.4
2022-01-02,37,Awesome Milky Cake,1,Bob's Diner,7.36,636,0.6,4.41
2022-01-02,38,Mutton Dinner,1,Bob's Diner,10.8,542,43.348,468.15
2022-01-02,39,Awesome Fruity Lamb with Vegetables Dinner,5,Corner Cafe,19.03,361,0.017,0.32
2022-01-02,40,Fantastic Fruity Salmon with Bread meal,4,Fou Cher,22.67,815,0.016,0.36
2022-01-02,41,Milky Cake,4,Fou Cher,6.01,624,0.016,0.1
2022-01-02,42,Fantastic Milky Smoothy,2,Beachfront Bar,2.91,318,0.888,2.58
2022-01-02,43,Anglefood Cake,5,Corner Cafe,7.13,550,0.017,0.12
2022-01-02,44,Milky Vegi Smoothy,1,Bob's Diner,5.5,374,0.868,4.77
2022-01-02,45,Awesome Fish with Vegetables Entree,1,Bob's Diner,23.43,227,1.853,43.42
2022-01-02,46,Blue Ribbon Milky Cake,3,Sweet Shack,6.89,612,0.016,0.11
2022-01-02,47,Amazing Vegetable and Bread Dinner,4,Fou Cher,8.01,720,0.016,0.13
2022-01-02,48,Original Breaded Lamb Dinner,4,Fou Cher,11.82,740,0.021,0.25
2022-01-02,49,Awesome Smoothy,3,Sweet Shack,1.39,78,0.793,1.1
2022-01-02,50,Pike Lunch,5,Corner Cafe,26.37,653,0.026,0.68
2022-01-02,51,Amazing Lamb Dinner,4,Fou Cher,17.55,591,0.023,0.4
2022-01-02,52,Original Sweet Milky Soft Drink,3,Sweet Shack,5.68,535,0.016,0.09
2022-01-02,53,Amazing Sweet Breaded Carrot Cake,5,Corner Cafe,7.87,836,0.017,0.13
2022-01-02,54,Original Vegetable with Bread Meal,5,Corner Cafe,6.51,626,0.017,0.11
2022-01-02,55,Frozen Milky Cake,5,Corner Cafe,6.63,607,0.017,0.11
2022-01-02,56,Sea Bass with Vegetables Dinner,1,Bob's Diner,28.75,613,8.727,250.91
2022-01-02,57,Carrot Cake,4,Fou Cher,3.93,510,0.018,0.07
2022-01-02,58,Lamb with Vegetables Meal,5,Corner Cafe,13.66,485,0.145,1.98
2022-01-02,59,Blue Ribbon Beef Entree,1,Bob's Diner,23.37,392,16.358,382.29
2022-01-02,60,Original Pork Meal,5,Corner Cafe,15.69,411,0.083,1.3
2022-01-02,61,Awesome Pork with Vegetables Lunch,6,Surfs Up,18.53,848,0.057,1.05
2022-01-02,62,Sweet Vegi Soft Drink,2,Beachfront Bar,5.7,538,0.016,0.09
2022-01-02,63,Frozen Chocolate Cake,5,Corner Cafe,3.74,519,0.017,0.06
2022-01-02,64,Roast Mutton Entree,6,Surfs Up,16.09,293,0.046,0.73
2022-01-02,65,Lamb with Bread and Vegetables Meal,4,Fou Cher,20.02,724,0.016,0.32
2022-01-02,66,Cherry Cake,4,Fou Cher,6.31,586,0.019,0.12
2022-01-02,67,Sweet Lamb Cake,1,Bob's Diner,7.0,558,2.423,16.96
2022-01-02,68,Blue Ribbon Fruity Milky Cake,1,Bob's Diner,8.7,652,0.901,7.84
2022-01-02,69,Awesome Hamburger with Fries,5,Corner Cafe,26.04,673,0.106,2.75
2022-01-02,70,Pork with Bread Lunch,5,Corner Cafe,16.28,545,0.027,0.43
2022-01-02,71,Frozen Milky Smoothy,5,Corner Cafe,3.98,211,0.296,1.18
2022-01-02,72,Original Milky Cake,4,Fou Cher,6.53,602,0.016,0.1
2022-01-02,73,Milky Cake,1,Bob's Diner,5.16,596,4.279,22.08
2022-01-02,74,Super Sweet Cocktail,4,Fou Cher,4.11,619,0.018,0.07
2022-01-02,75,Blue Ribbon Milky Smoothy,4,Fou Cher,5.6,459,0.03,0.17
2022-01-02,76,Amazing pork lunch,1,Bob's Diner,17.93,679,21.05,377.43
2022-01-02,77,Blue Ribbon Frozen Milky Cake,3,Sweet Shack,7.7,636,0.016,0.13
2022-01-02,78,Original Gin Cocktail,2,Beachfront Bar,2.99,279,0.016,0.05
2022-01-02,79,Fruity Frozen Slushy,4,Fou Cher,3.75,137,0.087,0.33
2022-01-02,80,Blue Ribbon Fruity Vegi Lunch,4,Fou Cher,53.98,881,0.633,34.15
2022-01-02,81,Fantastic Milky Smoothy,3,Sweet Shack,5.11,383,0.015,0.08
2022-01-02,82,Martini,4,Fou Cher,5.45,556,0.016,0.09
2022-01-02,83,Original Fruity Carrot Cake,5,Corner Cafe,8.55,600,0.017,0.14
2022-01-02,84,BBQ Pork Steak,5,Corner Cafe,19.77,855,0.017,0.33
2022-01-02,85,Vegetarian Plate with Bread entree,4,Fou Cher,4.02,271,0.022,0.09
2022-01-02,86,Original Milky Cake,3,Sweet Shack,6.5,595,0.016,0.11
2022-01-02,87,Milky Cake,5,Corner Cafe,7.22,627,0.017,0.12
2022-01-02,88,Oysters Rockefeller,6,Surfs Up,16.06,204,0.099,1.59
2022-01-02,89,Awesome Soft Drink,6,Surfs Up,3.06,248,1.283,3.93
2022-01-02,90,Sweet Breaded Zucchini Cake,1,Bob's Diner,7.71,838,1.072,8.27
2022-01-02,91,Halibut with Bread Dinner,5,Corner Cafe,15.46,468,0.052,0.81
2022-01-02,92,Margarita,4,Fou Cher,3.23,418,0.034,0.11
2022-01-02,93,Lamb with Bread Entree,5,Corner Cafe,12.44,585,0.118,1.47
2022-01-02,94,Fruity Milky Smoothy,6,Surfs Up,5.71,331,0.066,0.38
2022-01-02,95,Blue Ribbon Pork Chop with Rolls Dinner,4,Fou Cher,19.04,958,0.018,0.34
2022-01-02,96,Blue Ribbon Fish with Bread Lunch,5,Corner Cafe,21.93,708,0.017,0.37
2022-01-02,97,Original Fruity Cod with Bread and Vegetables Entree,4,Fou Cher,28.65,744,0.099,2.84
2022-01-02,98,Original Sweet Milky Soft Drink,2,Beachfront Bar,5.0,579,0.015,0.08
2022-01-02,99,Frozen Tomato Soft Drink,4,Fou Cher,5.32,423,0.017,0.09
2022-01-02,100,Awesome Vodka Cocktail,2,Beachfront Bar,2.48,223,0.016,0.04
2022-01-03,1,Chocolate Cake,4,Fou Cher,6.71,554,0.016,0.11
2022-01-03,2,Breaded Fish with Vegetables Meal,4,Fou Cher,15.09,772,0.016,0.24
2022-01-03,3,Sweet Fruity Cake,1,Bob's Diner,29.22,931,1.736,50.72
2022-01-03,4,Amazing Steak Dinner with Rolls,1,Bob's Diner,26.42,763,12.243,323.46
2022-01-03,5,Milk Cake,5,Corner Cafe,6.07,583,0.017,0.1
2022-01-03,6,Fruity Frozen Cocktail,4,Fou Cher,5.61,537,0.016,0.09
2022-01-03,7,Fruity Milky Cake,4,Fou Cher,8.1,605,0.016,0.13
2022-01-03,8,Amazing Trout with Vegetables Dinner,6,Surfs Up,24.98,258,0.088,2.2
2022-01-03,9,Orange Juice,1,Bob's Diner,3.91,135,30.747,120.22
2022-01-03,10,Mutton with Roles and Vegetables Plate,5,Corner Cafe,21.13,820,0.017,0.35
2022-01-03,11,Fantastic Sweet Fish Cake,4,Fou Cher,19.48,787,0.135,2.63
2022-01-03,12,Fantastic Sweet Cola,1,Bob's Diner,4.87,478,2.432,11.84
2022-01-03,13,Sweet Frozen Soft Drink,1,Bob's Diner,4.18,490,12.897,53.91
2022-01-03,14,Amazing Cocktail,6,Surfs Up,3.9,472,0.119,0.46
2022-01-03,15,Original Lamb with Vegetables Meal,5,Corner Cafe,18.78,380,0.017,0.32
2022-01-03,16,Frozen Milky Smoothy,1,Bob's Diner,3.21,284,7.91,25.39
2022-01-03,17,Awesome Vegetable with Bread Meal,4,Fou Cher,6.21,581,0.016,0.1
2022-01-03,18,Mutton Lunch Plate,1,Bob's Diner,18.82,566,1.015,19.11
2022-01-03,19,Strawberry Smoothy,1,Bob's Diner,2.89,145,83.693,241.87
2022-01-03,20,Fruity Milky Soft Drink,5,Corner Cafe,7.95,645,0.017,0.13
2022-01-03,21,Amazing Fish with Vegetables Meal,1,Bob's Diner,23.23,269,4.782,111.1
2022-01-03,22,Lamb with Bread Dinner,4,Fou Cher,19.05,557,0.016,0.31
2022-01-03,23,Awesome Sweet Lamb Cake,1,Bob's Diner,10.86,671,0.552,5.99
2022-01-03,24,Amazing Sweet Fruity Vegetable Cake,1,Bob's Diner,7.91,588,0.723,5.72
2022-01-03,25,Fantastic Frozen Milky Cake,1,Bob's Diner,6.23,587,0.912,5.68
2022-01-03,26,Blue Ribbon Lamb with Rolls Lunch,5,Corner Cafe,7.55,611,0.026,0.2
2022-01-03,27,Steak Meal,6,Surfs Up,26.21,607,0.443,11.61
2022-01-03,28,Fish with Dread and Vegetables Dinner,4,Fou Cher,15.23,534,0.023,0.34
2022-01-03,29,Original Crazy Cocktail,2,Beachfront Bar,2.43,228,0.095,0.23
2022-01-03,30,Fantastic Cake,3,Sweet Shack,5.08,525,0.015,0.08
2022-01-03,31,Amazing Frozen Milky Cake,1,Bob's Diner,5.62,623,0.761,4.28
2022-01-03,32,Milky vegi Smoothy,3,Sweet Shack,3.86,150,0.015,0.06
2022-01-03,33,Original Breaded Pork with Vegetables Dinner,6,Surfs Up,20.8,1023,0.076,1.57
2022-01-03,34,Sweet Savory Cake,4,Fou Cher,27.47,721,0.016,0.45
2022-01-03,35,Blue Ribbon Cocktail,6,Surfs Up,4.36,456,0.114,0.5
2022-01-03,36,Fantastic Fish with Vegetables Entree,5,Corner Cafe,21.14,232,0.019,0.4
2022-01-03,37,Awesome Milky Cake,1,Bob's Diner,7.36,636,0.555,4.09
2022-01-03,38,Mutton Dinner,1,Bob's Diner,10.8,542,36.53,394.53
2022-01-03,39,Awesome Fruity Lamb with Vegetables Dinner,5,Corner Cafe,19.03,361,0.017,0.32
2022-01-03,40,Fantastic Fruity Salmon with Bread meal,4,Fou Cher,22.67,815,0.016,0.37
2022-01-03,41,Milky Cake,4,Fou Cher,6.01,624,0.016,0.1
2022-01-03,42,Fantastic Milky Smoothy,2,Beachfront Bar,2.91,318,1.259,3.66
2022-01-03,43,Anglefood Cake,5,Corner Cafe,7.13,550,0.017,0.12
2022-01-03,44,Milky Vegi Smoothy,1,Bob's Diner,5.5,374,0.863,4.75
2022-01-03,45,Awesome Fish with Vegetables Entree,1,Bob's Diner,23.43,227,1.806,42.32
2022-01-03,46,Blue Ribbon Milky Cake,3,Sweet Shack,6.89,612,0.015,0.1
2022-01-03,47,Amazing Vegetable and Bread Dinner,4,Fou Cher,8.01,720,0.016,0.13
2022-01-03,48,Original Breaded Lamb Dinner,4,Fou Cher,11.82,740,0.016,0.19
2022-01-03,49,Awesome Smoothy,3,Sweet Shack,1.39,78,1.633,2.27
2022-01-03,50,Pike Lunch,5,Corner Cafe,26.37,653,0.025,0.67
2022-01-03,51,Amazing Lamb Dinner,4,Fou Cher,17.55,591,0.019,0.33
2022-01-03,52,Original Sweet Milky Soft Drink,3,Sweet Shack,5.68,535,0.015,0.09
2022-01-03,53,Amazing Sweet Breaded Carrot Cake,5,Corner Cafe,7.87,836,0.017,0.13
2022-01-03,54,Original Vegetable with Bread Meal,5,Corner Cafe,6.51,626,0.017,0.11
2022-01-03,55,Frozen Milky Cake,5,Corner Cafe,6.63,607,0.017,0.11
2022-01-03,56,Sea Bass with Vegetables Dinner,1,Bob's Diner,28.75,613,8.341,239.81
2022-01-03,57,Carrot Cake,4,Fou Cher,3.93,510,0.016,0.06
2022-01-03,58,Lamb with Vegetables Meal,5,Corner Cafe,13.66,485,0.078,1.07
2022-01-03,59,Blue Ribbon Beef Entree,1,Bob's Diner,23.37,392,16.552,386.81
2022-01-03,60,Original Pork Meal,5,Corner Cafe,15.69,411,0.078,1.22
2022-01-03,61,Awesome Pork with Vegetables Lunch,6,Surfs Up,18.53,848,0.149,2.77
2022-01-03,62,Sweet Vegi Soft Drink,2,Beachfront Bar,5.7,538,0.018,0.1
2022-01-03,63,Frozen Chocolate Cake,5,Corner Cafe,3.74,519,0.019,0.07
2022-01-03,64,Roast Mutton Entree,6,Surfs Up,16.09,293,0.127,2.04
2022-01-03,65,Lamb with Bread and Vegetables Meal,4,Fou Cher,20.02,724,0.016,0.33
2022-01-03,66,Cherry Cake,4,Fou Cher,6.31,586,0.016,0.1
2022-01-03,67,Sweet Lamb Cake,1,Bob's Diner,7.0,558,2.865,20.06
2022-01-03,68,Blue Ribbon Fruity Milky Cake,1,Bob's Diner,8.7,652,0.895,7.78
2022-01-03,69,Awesome Hamburger with Fries,5,Corner Cafe,26.04,673,0.075,1.95
2022-01-03,70,Pork with Bread Lunch,5,Corner Cafe,16.28,545,0.027,0.44
2022-01-03,71,Frozen Milky Smoothy,5,Corner Cafe,3.98,211,0.04,0.16
2022-01-03,72,Original Milky Cake,4,Fou Cher,6.53,602,0.016,0.11
2022-01-03,73,Milky Cake,1,Bob's Diner,5.16,596,4.075,21.03
2022-01-03,74,Super Sweet Cocktail,4,Fou Cher,4.11,619,0.017,0.07
2022-01-03,75,Blue Ribbon Milky Smoothy,4,Fou Cher,5.6,459,0.022,0.12
2022-01-03,76,Amazing pork lunch,1,Bob's Diner,17.93,679,22.466,402.81
2022-01-03,77,Blue Ribbon Frozen Milky Cake,3,Sweet Shack,7.7,636,0.015,0.12
2022-01-03,78,Original Gin Cocktail,2,Beachfront Bar,2.99,279,0.016,0.05
2022-01-03,79,Fruity Frozen Slushy,4,Fou Cher,3.75,137,0.076,0.29
2022-01-03,80,Blue Ribbon Fruity Vegi Lunch,4,Fou Cher,53.98,881,0.491,26.49
2022-01-03,81,Fantastic Milky Smoothy,3,Sweet Shack,5.11,383,0.015,0.08
2022-01-03,82,Martini,4,Fou Cher,5.45,556,0.016,0.09
2022-01-03,83,Original Fruity Carrot Cake,5,Corner Cafe,8.55,600,0.017,0.14
2022-01-03,84,BBQ Pork Steak,5,Corner Cafe,19.77,855,0.017,0.33
2022-01-03,85,Vegetarian Plate with Bread entree,4,Fou Cher,4.02,271,0.016,0.07
2022-01-03,86,Original Milky Cake,3,Sweet Shack,6.5,595,0.015,0.1
2022-01-03,87,Milky Cake,5,Corner Cafe,7.22,627,0.017,0.12
2022-01-03,88,Oysters Rockefeller,6,Surfs Up,16.06,204,0.332,5.33
2022-01-03,89,Awesome Soft Drink,6,Surfs Up,3.06,248,1.087,3.33
2022-01-03,90,Sweet Breaded Zucchini Cake,1,Bob's Diner,7.71,838,1.066,8.22
2022-01-03,91,Halibut with Bread Dinner,5,Corner Cafe,15.46,468,0.046,0.71
2022-01-03,92,Margarita,4,Fou Cher,3.23,418,0.036,0.12
2022-01-03,93,Lamb with Bread Entree,5,Corner Cafe,12.44,585,0.041,0.5
2022-01-03,94,Fruity Milky Smoothy,6,Surfs Up,5.71,331,0.158,0.9
2022-01-03,95,Blue Ribbon Pork Chop with Rolls Dinner,4,Fou Cher,19.04,958,0.019,0.36
2022-01-03,96,Blue Ribbon Fish with Bread Lunch,5,Corner Cafe,21.93,708,0.017,0.37
2022-01-03,97,Original Fruity Cod with Bread and Vegetables Entree,4,Fou Cher,28.65,744,0.048,1.38
2022-01-03,98,Original Sweet Milky Soft Drink,2,Beachfront Bar,5.0,579,0.015,0.08
2022-01-03,99,Frozen Tomato Soft Drink,4,Fou Cher,5.32,423,0.017,0.09
