relative_strength_rank,restaurant_name,restaurant_id,item_name,item_id,within_restaurant_rank,restaurant_menu_item_count,predicted_units_sold,average_daily_units_sold,predicted_revenue,restaurant_demand_share_pct,relative_demand_index
75,Bob's Diner,1,Milky Cake,73,10,24,2135.871,5.852,11021.1,0.876,21.025
76,Bob's Diner,1,Sweet Lamb Cake,67,11,24,2102.337,5.76,14716.36,0.862,20.695
77,Bob's Diner,1,Fantastic Sweet Cola,12,12,24,1508.172,4.132,7344.8,0.619,14.846
78,Bob's Diner,1,Awesome Fish with Vegetables Entree,45,13,24,895.417,2.453,20979.61,0.367,8.814
79,Bob's Diner,1,Sweet Fruity Cake,3,14,24,865.427,2.371,25287.78,0.355,8.519
80,Beachfront Bar,2,Sweet Vegi Soft Drink,62,3,6,6.08,0.017,34.65,1.39,8.34
81,Beachfront Bar,2,Original Gin Cocktail,78,4,6,6.062,0.017,18.13,1.386,8.316
82,Beachfront Bar,2,Awesome Vodka Cocktail,100,5,6,5.915,0.016,14.67,1.352,8.114
83,Sweet Shack,3,Fantastic Milky Smoothy,81,2,8,5.967,0.016,30.49,0.967,7.733
84,Beachfront Bar,2,Original Sweet Milky Soft Drink,98,6,6,5.62,0.015,28.1,1.285,7.709
85,Sweet Shack,3,Fantastic Cake,30,3,8,5.827,0.016,29.6,0.944,7.552
86,Sweet Shack,3,Blue Ribbon Milky Cake,46,4,8,5.627,0.015,38.77,0.912,7.292
87,Sweet Shack,3,Milky vegi Smoothy,32,5,8,5.626,0.015,21.72,0.911,7.291
88,Sweet Shack,3,Original Sweet Milky Soft Drink,52,6,8,5.584,0.015,31.72,0.905,7.236
89,Sweet Shack,3,Original Milky Cake,86,7,8,5.551,0.015,36.08,0.899,7.194
90,Sweet Shack,3,Blue Ribbon Frozen Milky Cake,77,8,8,5.551,0.015,42.74,0.899,7.194
91,Bob's Diner,1,Mutton Lunch Plate,18,15,24,401.406,1.1,7554.45,0.165,3.951
92,Bob's Diner,1,Sweet Breaded Zucchini Cake,90,16,24,398.862,1.093,3075.23,0.164,3.926
93,Bob's Diner,1,Fantastic Frozen Milky Cake,25,17,24,342.569,0.939,2134.21,0.141,3.372
94,Bob's Diner,1,Blue Ribbon Fruity Milky Cake,68,18,24,336.835,0.923,2930.47,0.138,3.316
95,Bob's Diner,1,Milky Vegi Smoothy,44,19,24,325.176,0.891,1788.47,0.133,3.201
96,Bob's Diner,1,Amazing Frozen Milky Cake,31,20,24,295.932,0.811,1663.14,0.121,2.913
97,Bob's Diner,1,Amazing Sweet Fruity Vegetable Cake,24,21,24,276.51,0.758,2187.2,0.113,2.722
98,Bob's Diner,1,Awesome Sweet Lamb Cake,23,22,24,242.583,0.665,2634.46,0.099,2.388
99,Bob's Diner,1,Awesome Milky Cake,37,23,24,220.23,0.603,1620.89,0.09,2.168
100,Bob's Diner,1,Frozen Milky Smoothy,16,24,24,88.281,0.242,283.38,0.036,0.869
